time,close,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-11-15T04:00:00+01:00,16798,16631.66573,16567.85099,16568.24076,16622.52519,16882.72549,17277.22645,15858.47552,93.91258373,59.11406623
2022-11-15T05:00:00+01:00,16749,16657.74001,16584.31908,16578.56986,16627.04214,16880.07746,17264.13201,15904.50615,96.2253487,56.94465126
2022-11-15T06:00:00+01:00,16640,16653.79779,16589.38098,16582.08015,16627.50492,16875.32346,17253.20728,15925.55469,84.44390144,52.34288499
2022-11-15T07:00:00+01:00,16740.5,16673.06495,16603.11907,16591.13272,16631.54046,16872.65368,17241.92206,15964.31609,78.821837,55.88288279
2022-11-15T08:00:00+01:00,16832,16708.38385,16623.92643,16604.89656,16638.69973,16871.84866,17258.77921,15989.07366,82.18547176,58.87784165
2022-11-15T09:00:00+01:00,16911,16753.40966,16650.02403,16622.38819,16648.42474,16872.62393,17283.13732,16016.91074,93.96691902,61.31940269
2022-11-15T10:00:00+01:00,16781.5,16759.65196,16661.97639,16631.48029,16653.17743,16870.8195,17296.90302,16027.04976,90.33506534,55.50201756
2022-11-15T11:00:00+01:00,16869.5,16784.06263,16680.84217,16645.08142,16660.90324,16870.79337,17298.80975,16062.87459,84.62658369,58.39081255
2022-11-15T12:00:00+01:00,16764.5,16779.71538,16688.44743,16651.90534,16664.60312,16868.68855,17353.77447,16023.12039,68.48051402,53.89492362
2022-11-15T13:00:00+01:00,16817.5,16788.11196,16700.17948,16661.36789,16670.06372,16867.67492,17354.51888,16045.84009,59.20369347,55.74710697
2022-11-15T14:00:00+01:00,17002,16835.64264,16727.61771,16680.83258,16681.91859,16870.33482,17410.86143,16044.37399,65.32319165,61.53946892
2022-11-15T15:00:00+01:00,16920,16854.38872,16745.10701,16694.49929,16690.4215,16871.31829,17425.19047,16065.02355,68.31906667,57.91136286
2022-11-15T16:00:00+01:00,16967.5,16879.52456,16765.32455,16710.09933,16700.31716,16873.22288,17441.50919,16089.13991,79.11116321,59.40439676
2022-11-15T17:00:00+01:00,16992.5,16904.63021,16785.97687,16726.23651,16710.75226,16875.5848,17448.14832,16123.80542,74.27267863,60.20454304
2022-11-15T18:00:00+01:00,16977.5,16920.8235,16803.38806,16740.59442,16720.27896,16877.60292,17443.65441,16163.12171,79.84021481,59.44743227
2022-11-15T19:00:00+01:00,16722,16876.6405,16795.98915,16739.53189,16720.34043,16874.52168,17469.48647,16122.49182,54.24552362,48.30444609
2022-11-15T20:00:00+01:00,16840,16868.49817,16799.99013,16745.27292,16724.61399,16873.83808,17483.23765,16116.74262,36.85369053,52.71290607
2022-11-15T21:00:00+01:00,16824,16858.60968,16802.17285,16749.77161,16728.16349,16872.85119,17477.75983,16126.58587,20.57315715,52.06457225
2022-11-15T22:00:00+01:00,16890,16865.58531,16810.15713,16757.78466,16733.94336,16873.19077,17470.27361,16150.04066,36.29787388,54.54795564
2022-11-15T23:00:00+01:00,16859.5,16864.23302,16814.64285,16763.59697,16738.42753,16872.91966,17443.57244,16185.71326,37.46650857,53.17691327
2022-11-16T00:00:00+01:00,16878,16867.29235,16820.40259,16770.13428,16743.41226,16873.02026,17417.48006,16223.32512,42.17291038,53.93325232
2022-11-16T01:00:00+01:00,16767.5,16845.11627,16815.59326,16769.98375,16744.27254,16870.93075,17405.80806,16225.37847,27.83943115,48.85683789
2022-11-16T02:00:00+01:00,16840,16843.97932,16817.81206,16773.98468,16747.69137,16870.31826,17383.65437,16251.96975,24.99130482,52.04606276
2022-11-16T03:00:00+01:00,16925.5,16862.09503,16827.60187,16782.6427,16754.04168,16871.41097,17395.24116,16259.96258,29.10143004,55.56518035
2022-11-16T04:00:00+01:00,16954.5,16882.62947,16839.13806,16792.46312,16761.20091,16873.0563,17378.87455,16299.40158,51.29751573,56.72518907
2022-11-16T05:00:00+01:00,16888.5,16883.93403,16843.62551,16797.95094,16765.7473,16873.36211,17363.23796,16324.01306,55.90616002,53.31397099
2022-11-16T06:00:00+01:00,16907.5,16889.17091,16849.43228,16804.21088,16770.8099,16874.03811,17349.50099,16349.36358,54.04509042,54.16843267
2022-11-16T07:00:00+01:00,16861,16882.91071,16850.4839,16807.45598,16774.03097,16873.77993,17343.11912,16357.84867,40.54259226,51.67569807
2022-11-16T08:00:00+01:00,16817.5,16868.375,16847.48536,16808.02992,16775.58344,16872.66548,17322.71807,16372.25265,30.79220308,49.38611894
2022-11-16T09:00:00+01:00,16782.5,16849.29166,16841.5776,16806.57107,16775.83046,16870.88002,17316.72226,16366.43294,14.36660417,47.56022042
2022-11-16T10:00:00+01:00,16738.5,16824.67129,16832.20691,16802.68129,16774.49723,16868.25864,17304.05552,16360.3583,4.281779139,45.29310741
2022-11-16T11:00:00+01:00,16722,16801.85545,16822.1881,16798.07093,16772.62233,16865.36243,17280.36895,16364.00725,-5.92E-15,44.43765395
2022-11-16T12:00:00+01:00,16699.5,16779.1098,16811.03464,16792.43831,16770.01082,16862.07802,17269.70257,16352.3667,-5.92E-15,43.23838393
2022-11-16T13:00:00+01:00,16639.5,16748.0854,16795.44058,16783.69898,16765.34972,16857.67054,17255.73937,16335.14178,-5.92E-15,40.1283138
2022-11-16T14:00:00+01:00,16495,16691.8442,16768.1278,16767.20189,16755.69437,16850.48894,17246.54811,16289.70749,-5.92E-15,33.81923699
2022-11-16T15:00:00+01:00,16478,16644.32326,16741.75254,16750.67607,16745.77671,16843.11292,17220.0714,16263.43368,-5.92E-15,33.15872832
2022-11-16T16:00:00+01:00,16433,16597.36254,16713.68413,16732.52315,16734.60612,16834.99187,17198.76593,16228.60233,-5.92E-15,31.40996723
2022-11-16T17:00:00+01:00,16497.5,16575.17086,16694.03103,16719.09326,16726.13804,16828.30887,17175.74984,16212.31221,6.798813591,36.57337146
2022-11-16T18:00:00+01:00,16563,16572.46623,16682.11912,16710.17364,16720.31168,16823.05523,17159.64373,16204.5945,21.42769905,41.39789675
2022-11-16T19:00:00+01:00,16536,16564.36262,16668.83556,16700.22086,16713.72912,16817.37096,17137.85841,16199.81271,34.07605385,40.0456816
