time,close,EMA 1,EMA 2,Upper ATR 1,Lower ATR 1,Upper ATR 2,Lower ATR 2,Upper ATR 3,Lower ATR 3,Volume,K,RSI
2022-01-10T00:00:00+01:00,41856,42098.38121,41956.24188,42359.11322,41553.37053,42761.98456,41150.49919,43164.85591,40747.62785,2559.388,42.0215111,48.76313056
2022-01-10T01:00:00+01:00,41662.5,42001.51872,41929.53807,42332.06146,41527.01468,42734.58485,41124.49129,43137.10824,40721.9679,2818.482,22.72451802,45.59196793
2022-01-10T02:00:00+01:00,41820.5,41961.29234,41919.62552,42309.89724,41529.3538,42700.16896,41139.08208,43090.44068,40748.81036,1436.427,12.18158603,48.53503025
2022-01-10T03:00:00+01:00,41928,41953.89404,41920.38683,42298.88915,41541.88452,42677.39146,41163.38221,43055.89377,40784.8799,1294.135,15.09509665,50.49705089
2022-01-10T04:00:00+01:00,41940,41950.80648,41922.16985,42279.74342,41564.59628,42637.317,41207.0227,42994.89057,40849.44913,763.945,23.24833079,50.72288762
2022-01-10T05:00:00+01:00,42174,42000.40504,41945.0635,42297.06039,41593.06661,42649.05728,41241.06972,43001.05417,40889.07283,1408.195,33.83619468,55.03108143
2022-01-10T06:00:00+01:00,42016.5,42003.9817,41951.55773,42295.62627,41607.48919,42639.69481,41263.42064,42983.76335,40919.3521,1125.978,35.50935446,51.75147238
2022-01-10T07:00:00+01:00,41917.5,41984.76354,41948.46157,42282.66807,41614.25507,42616.87457,41280.04857,42951.08108,40945.84206,1431.252,33.83371968,49.74469089
2022-01-10T08:00:00+01:00,42019.5,41992.48275,41954.91961,42281.53993,41628.29929,42608.16026,41301.67896,42934.78058,40975.05864,1561.078,28.32935521,51.81776111
2022-01-10T09:00:00+01:00,41805,41950.81992,41941.29055,42270.08085,41612.50025,42598.87115,41283.70995,42927.66146,40954.91965,1846.121,20.85908137,47.39049975
2022-01-10T10:00:00+01:00,41796,41916.41549,41928.08232,42246.60189,41609.56276,42565.12145,41291.04319,42883.64102,40972.52363,1432.128,17.61012317,47.20824692
2022-01-10T11:00:00+01:00,41786.5,41887.54538,41915.2112,42225.62223,41604.80018,42536.03325,41294.38915,42846.44427,40983.97813,1151.668,11.04032401,47.00276568
2022-01-10T12:00:00+01:00,41567.5,41816.42419,41883.60109,42193.51847,41573.68371,42503.43585,41263.76633,42813.35323,40953.84895,3340.418,7.959468799,42.41902356
2022-01-10T13:00:00+01:00,40968,41627.88548,41800.36463,42135.60934,41465.11992,42470.85405,41129.87521,42806.09876,40794.6305,5809.468,4.094881378,32.94700634
