time,open,high,low,close,EMA 1 (8),EMA 2 (21),EMA 3 (34),EMA 4 (55),EMA 5 (100),Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-11-01T02:35:00+01:00,20527,20532,20523,20526.5,20494.19396,20475.37971,20466.16118,20454.94143,20448.87285,20535.77356,20414.98587,99.70458713,67.86573401
2022-11-01T02:40:00+01:00,20526.5,20526.5,20495,20503.5,20496.26197,20477.9361,20468.29483,20456.67567,20449.95458,20540.7661,20415.1061,86.69733841,59.12682631
2022-11-01T02:45:00+01:00,20503.5,20503.5,20499,20499.5,20496.98153,20479.89646,20470.07798,20458.20511,20450.93568,20539.20288,20420.59003,71.66469554,57.73444421
2022-11-01T02:50:00+01:00,20499.5,20499.5,20481.5,20489.5,20495.31897,20480.76951,20471.18781,20459.32278,20451.69933,20539.6969,20421.84211,51.92035179,54.29224237
2022-11-01T02:55:00+01:00,20489.5,20499,20489.5,20498.5,20496.02587,20482.38137,20472.74851,20460.72197,20452.62607,20539.13538,20425.62736,48.52005798,56.78925256
2022-11-01T03:00:00+01:00,20498.5,20509,20487,20487,20494.02012,20482.80124,20473.56288,20461.66047,20453.30674,20540.21568,20425.38681,40.63081963,52.81863901
2022-11-01T03:05:00+01:00,20487,20502.5,20487,20502.5,20495.90454,20484.59204,20475.21643,20463.11903,20454.28087,20541.22688,20427.9572,41.75263857,57.16575406
2022-11-01T03:10:00+01:00,20502.5,20502.5,20495,20500,20496.81464,20485.99276,20476.63263,20464.4362,20455.1862,20540.1894,20431.79613,37.32401752,56.26529441
2022-11-01T03:15:00+01:00,20500,20500,20487.5,20487.5,20494.74472,20486.12979,20477.25362,20465.25991,20455.82607,20539.1338,20433.12577,31.64416844,51.86616117
2022-11-01T03:20:00+01:00,20487.5,20495,20487.5,20487.5,20493.13478,20486.25435,20477.83913,20466.0542,20456.45328,20537.07951,20435.42919,21.96037579,51.86616117
2022-11-01T03:25:00+01:00,20487.5,20501,20487.5,20496,20493.7715,20487.14032,20478.87689,20467.12369,20457.23638,20537.22797,20437.05267,15.21445607,54.6617273
2022-11-01T03:30:00+01:00,20496,20525.5,20495.5,20501.5,20495.48894,20488.44574,20480.16964,20468.35142,20458.11289,20541.38427,20435.50722,19.86216792,56.42525612
2022-11-01T03:35:00+01:00,20501.5,20528.5,20501.5,20520.5,20501.04695,20491.35977,20482.47424,20470.21387,20459.34828,20546.30269,20436.41685,35.84237926,61.93375453
2022-11-01T03:40:00+01:00,20520.5,20525,20520,20522.5,20505.8143,20494.1907,20484.76142,20472.08123,20460.59881,20546.28055,20442.10084,52.18628669,62.47155361
2022-11-01T03:45:00+01:00,20522.5,20564,20522.5,20547,20514.96668,20498.99154,20488.31791,20474.7569,20462.30972,20556.25355,20441.72954,76.14030515,68.36727994
2022-11-01T03:50:00+01:00,20547,20579,20547,20563.5,20525.75186,20504.85595,20492.61403,20477.9263,20464.31349,20564.88496,20444.82694,88.76182413,71.60287154
2022-11-01T03:55:00+01:00,20563.5,20569,20557,20566,20534.69589,20510.4145,20496.80752,20481.07178,20466.32709,20568.72715,20452.10185,100,72.06904093
