Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),btc_price
2020-11-24,0.72,92.226,0.25,21.64,-2.346153846153846,59.846666666666664,6.7,1.3533333333333333,19088.556666666667,19169.8975
2020-11-25,0.71,91.994,0.25,21.25,-2.3395604395604392,59.94,6.7,1.3599999999999999,19093.72,18727.64
2020-11-26,0.6950000000000001,91.994,0.25,21.045,-2.3329670329670327,60.03333333333333,6.7,1.3666666666666667,19098.883333333335,17167.14
2020-11-27,0.68,91.79,0.25,20.84,-2.326373626373626,60.126666666666665,6.7,1.3733333333333333,19104.04666666667,17152.92
2020-11-28,0.68,91.8295,0.25,20.75,-2.3197802197802195,60.22,6.7,1.38,19109.21,17740.0325
2020-11-29,0.68,91.869,0.25,20.66,-2.313186813186813,60.31333333333333,6.7,1.3866666666666665,19114.373333333333,18197.3175
2020-11-30,0.68,91.59100000000001,0.25,20.57,-2.3065934065934064,60.406666666666666,6.7,1.3933333333333333,19119.536666666667,19709.54
2020-12-01,0.75,91.313,0.25,20.77,-2.3,60.5,6.7,1.4,19124.7,18779.14
2020-12-02,0.79,91.118,0.25,21.17,-2.2688888888888887,60.44193548387097,6.690322580645161,1.4,19132.687096774192,19228.5225
2020-12-03,0.76,90.714,0.25,21.28,-2.2377777777777776,60.383870967741935,6.680645161290323,1.4,19140.674193548388,19449.8775
2020-12-04,0.81,90.701,0.25,20.79,-2.2066666666666666,60.325806451612905,6.670967741935484,1.4,19148.66129032258,18667.305
2020-12-05,0.8066666666666668,90.7465,0.25,20.96,-2.1755555555555555,60.26774193548387,6.661290322580645,1.4,19156.648387096775,19159.9025
2020-12-06,0.8033333333333333,90.792,0.25,21.13,-2.1444444444444444,60.20967741935484,6.651612903225806,1.4,19164.635483870967,19382.2675
2020-12-07,0.8,90.8785,0.25,21.3,-2.1133333333333333,60.151612903225804,6.641935483870968,1.4,19172.622580645162,19178.0925
2020-12-08,0.78,90.965,0.25,20.68,-2.082222222222222,60.093548387096774,6.6322580645161295,1.4,19180.609677419354,18317.92
2020-12-09,0.79,91.087,0.25,22.27,-2.051111111111111,60.035483870967745,6.622580645161291,1.4,19188.59677419355,18551.52
2020-12-10,0.78,90.824,0.25,22.52,-2.02,59.97741935483871,6.612903225806452,1.4,19196.58387096774,18247.86
2020-12-11,0.79,90.763,0.25,23.31,-1.9888888888888887,59.91935483870968,6.603225806451613,1.4,19204.570967741936,18035.185
2020-12-12,0.7833333333333333,90.737,0.25,23.779999999999998,-1.9577777777777776,59.86129032258064,6.593548387096774,1.4,19212.558064516128,18814.7425
2020-12-13,0.7766666666666667,90.711,0.25,24.25,-1.9266666666666665,59.803225806451614,6.583870967741936,1.4,19220.545161290323,19164.8025
2020-12-14,0.77,90.592,0.25,24.72,-1.8955555555555554,59.745161290322585,6.574193548387097,1.4,19228.532258064515,19276.6175
2020-12-15,0.81,90.473,0.25,22.89,-1.8644444444444443,59.68709677419355,6.564516129032258,1.4,19236.51935483871,19442.235
2020-12-16,0.79,90.45,0.25,22.5,-1.833333333333333,59.62903225806452,6.554838709677419,1.4,19244.506451612902,21370.875
2020-12-17,0.81,89.822,0.25,21.93,-1.802222222222222,59.57096774193548,6.545161290322581,1.4,19252.493548387098,22824.125
2020-12-18,0.82,90.133,0.25,21.57,-1.7711111111111109,59.512903225806454,6.5354838709677425,1.4,19260.48064516129,23139.1
2020-12-19,0.82,90.088,0.25,22.766666666666666,-1.7399999999999998,59.45483870967742,6.525806451612904,1.4,19268.467741935485,23856.9625
2020-12-20,0.82,90.043,0.25,23.963333333333335,-1.7088888888888887,59.39677419354839,6.516129032258065,1.4,19276.454838709677,23478.995
2020-12-21,0.82,90.3485,0.25,25.16,-1.6777777777777776,59.33870967741936,6.506451612903226,1.4,19284.441935483872,22729.9375
2020-12-22,0.8,90.654,0.25,24.23,-1.6466666666666665,59.28064516129032,6.496774193548387,1.4,19292.429032258064,23834.1425
