Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),spx,ndx,gold
2000-05-03,-0.33,111.17,6.066666666666666,31.63,4.8847826086956525,53.08387096774194,4.0,3.232258064516129,4755.054838709677,1422.5,3585.0,279.7
2000-05-04,-0.31,111.82,6.1,30.77,4.895652173913044,53.02580645161291,4.0,3.2483870967741937,4755.632258064516,1423.25,3589.5,278.7
2000-05-05,-0.33,111.34,6.133333333333334,27.53,4.906521739130435,52.96774193548387,4.0,3.264516129032258,4756.209677419354,1439.0,3695.0,277.9
2000-05-06,-0.32,111.385,6.166666666666667,27.753333333333334,4.917391304347826,52.90967741935484,4.0,3.2806451612903227,4756.787096774193,1436.0,3647.1666666666665,277.1
2000-05-07,-0.31,111.43,6.2,27.976666666666667,4.928260869565218,52.851612903225806,4.0,3.296774193548387,4757.364516129032,1433.0,3599.3333333333335,276.3
2000-05-08,-0.3,111.08500000000001,6.233333333333333,28.2,4.939130434782609,52.79354838709678,4.0,3.3129032258064517,4757.941935483871,1430.0,3551.5,277.0
2000-05-09,-0.33,110.74,6.266666666666667,28.93,4.95,52.73548387096774,4.0,3.329032258064516,4758.51935483871,1419.75,3452.5,277.5
2000-05-10,-0.37,110.78,6.3,29.87,4.960869565217392,52.67741935483871,4.0,3.3451612903225807,4759.096774193548,1387.75,3252.5,275.9
2000-05-11,-0.39,111.21,6.333333333333333,27.76,4.971739130434782,52.619354838709675,4.0,3.361290322580645,4759.674193548387,1415.0,3385.5,275.9
2000-05-12,-0.4,109.82,6.366666666666666,26.05,4.982608695652174,52.561290322580646,4.0,3.3774193548387097,4760.251612903226,1430.75,3417.5,275.66666666666663
2000-05-13,-0.4033333333333333,110.215,6.4,25.653333333333332,4.993478260869566,52.50322580645162,4.0,3.393548387096774,4760.829032258064,1439.75,3464.8333333333335,275.43333333333334
2000-05-14,-0.4066666666666667,110.61,6.433333333333334,25.256666666666668,5.004347826086956,52.44516129032258,4.0,3.4096774193548387,4761.406451612903,1448.75,3512.1666666666665,275.2
2000-05-15,-0.41,111.045,6.466666666666667,24.86,5.015217391304348,52.38709677419355,4.0,3.425806451612903,4761.9838709677415,1457.75,3559.5,275.4
2000-05-16,-0.46,111.48,6.5,24.34,5.026086956521739,52.329032258064515,4.0,3.441935483870968,4762.56129032258,1471.75,3670.0,273.8
2000-05-17,-0.42,112.08,6.5,23.98,5.03695652173913,52.270967741935486,4.0,3.458064516129032,4763.13870967742,1456.75,3587.5,272.6
2000-05-18,-0.37,112.1,6.5,23.96,5.047826086956522,52.21290322580645,4.0,3.474193548387097,4763.716129032258,1442.0,3460.0,274.0
2000-05-19,-0.35,111.5,6.5,25.44,5.058695652173913,52.15483870967742,4.0,3.490322580645161,4764.293548387097,1415.0,3280.0,274.46666666666664
2000-05-20,-0.35666666666666663,111.33,6.5,25.62666666666667,5.069565217391305,52.096774193548384,4.0,3.506451612903226,4764.870967741936,1411.5,3285.8333333333335,274.93333333333334
2000-05-21,-0.36333333333333334,111.16,6.5,25.813333333333333,5.0804347826086955,52.038709677419355,4.0,3.5225806451612907,4765.448387096774,1408.0,3291.6666666666665,275.4
2000-05-22,-0.37,111.14,6.5,26.0,5.091304347826087,51.980645161290326,4.0,3.538709677419355,4766.025806451613,1404.5,3297.5,274.0
2000-05-23,-0.38,111.12,6.5,25.87,5.102173913043479,51.92258064516129,4.0,3.5548387096774197,4766.6032258064515,1382.5,3012.5,273.0
2000-05-24,-0.32,111.27,6.5,24.32,5.113043478260869,51.86451612903226,4.0,3.570967741935484,4767.18064516129,1401.75,3167.5,269.8
2000-05-25,-0.32,110.77,6.5,24.58,5.123913043478261,51.806451612903224,4.0,3.5870967741935487,4767.758064516129,1389.0,3125.5,271.3
2000-05-26,-0.36,109.06,6.5,24.47,5.1347826086956525,51.748387096774195,4.0,3.603225806451613,4768.335483870967,1381.25,3130.0,271.65
2000-05-27,-0.36,109.02250000000001,6.5,24.2575,5.145652173913044,51.69032258064516,4.0,3.6193548387096777,4768.912903225807,1392.75,3204.25,272.0
2000-05-28,-0.36,108.985,6.5,24.045,5.156521739130435,51.63225806451613,4.0,3.635483870967742,4769.490322580646,1404.25,3278.5,272.35
2000-05-29,-0.36,108.94749999999999,6.5,23.8325,5.167391304347826,51.57419354838709,4.0,3.6516129032258067,4770.067741935484,1415.75,3352.75,272.7
2000-05-30,-0.36,108.91,6.5,23.62,5.178260869565218,51.516129032258064,4.0,3.667741935483871,4770.645161290323,1427.25,3427.0,271.6
2000-05-31,-0.4,108.64,6.5,23.65,5.189130434782609,51.45806451612903,4.0,3.6838709677419357,4771.2225806451615,1422.25,3325.0,272.5
2000-06-01,-0.41,109.06,6.5,22.36,5.2,51.4,4.0,3.7,4771.8,1451.5,3512.5,280.9
2000-06-02,-0.37,108.07,6.5,21.48,5.1869565217391305,51.43666666666667,4.0,3.7,4772.386666666667,1475.5,3751.5,282.3333333333333
2000-06-03,-0.37,107.805,6.5,21.89,5.173913043478261,51.47333333333333,4.0,3.7,4772.973333333333,1473.8333333333333,3751.8333333333335,283.76666666666665
2000-06-04,-0.37,107.54,6.5,22.3,5.160869565217391,51.51,4.0,3.7,4773.56,1472.1666666666667,3752.1666666666665,285.2
2000-06-05,-0.37,107.055,6.5,22.71,5.147826086956522,51.54666666666667,4.0,3.7,4774.1466666666665,1470.5,3752.5,288.8
2000-06-06,-0.37,106.57,6.5,23.05,5.1347826086956525,51.58333333333333,4.0,3.7,4774.733333333334,1463.0,3662.5,286.8
2000-06-07,-0.39,106.16,6.5,22.48,5.121739130434783,51.62,4.0,3.7,4775.32,1472.0,3737.5,284.2
2000-06-08,-0.43,106.7,6.5,22.04,5.108695652173913,51.656666666666666,4.0,3.7,4775.906666666667,1467.0,3730.5,283.35
2000-06-09,-0.43,107.04,6.5,22.14,5.095652173913043,51.693333333333335,4.0,3.7,4776.493333333334,1484.5,3814.0,284.40000000000003
2000-06-10,-0.43,107.02000000000001,6.5,22.2,5.082608695652174,51.73,4.0,3.7,4777.08,1479.3333333333333,3781.8333333333335,285.45
2000-06-11,-0.43,107.0,6.5,22.26,5.069565217391305,51.766666666666666,4.0,3.7,4777.666666666667,1474.1666666666667,3749.6666666666665,286.5
2000-06-12,-0.43,106.705,6.5,22.32,5.056521739130435,51.803333333333335,4.0,3.7,4778.253333333333,1469.0,3717.5,285.5
2000-06-13,-0.38,106.41,6.5,21.67,5.043478260869565,51.839999999999996,4.0,3.7,4778.84,1494.5,3832.5,291.5
2000-06-14,-0.38,106.53,6.5,21.48,5.030434782608696,51.876666666666665,4.0,3.7,4779.426666666666,1498.0,3756.5,289.6
2000-06-15,-0.39,106.89,6.5,20.68,5.017391304347826,51.913333333333334,4.0,3.7,4780.013333333333,1498.25,3817.5,289.0
2000-06-16,-0.39,105.96,6.5,20.5,5.004347826086956,51.95,4.0,3.7,4780.6,1488.0,3827.5,288.0
2000-06-17,-0.39333333333333337,106.13,6.5,20.543333333333333,4.9913043478260875,51.986666666666665,4.0,3.7,4781.1866666666665,1493.5,3879.1666666666665,287.0
2000-06-18,-0.39666666666666667,106.3,6.5,20.586666666666666,4.978260869565218,52.02333333333333,4.0,3.7,4781.7733333333335,1499.0,3930.8333333333335,286.0
2000-06-19,-0.4,106.305,6.5,20.63,4.965217391304348,52.06,4.0,3.7,4782.36,1504.5,3982.5,285.9
2000-06-20,-0.4,106.31,6.5,20.88,4.952173913043478,52.096666666666664,4.0,3.7,4782.946666666667,1498.75,4007.5,285.9
2000-06-21,-0.39,107.42,6.5,20.61,4.939130434782609,52.13333333333333,4.0,3.7,4783.533333333333,1498.5,4013.5,285.4
2000-06-22,-0.38,107.8,6.5,22.0,4.926086956521739,52.17,4.0,3.7,4784.12,1476.25,3862.5,282.9
2000-06-23,-0.36,107.96,6.5,22.34,4.91304347826087,52.20666666666666,4.0,3.7,4784.706666666666,1463.5,3728.0,283.16666666666663
2000-06-24,-0.37,108.085,6.5,22.376666666666665,4.9,52.24333333333333,4.0,3.7,4785.293333333333,1468.6666666666667,3761.1666666666665,283.43333333333334
2000-06-25,-0.38,108.21,6.5,22.413333333333334,4.886956521739131,52.28,4.0,3.7,4785.88,1473.8333333333333,3794.3333333333335,283.7
2000-06-26,-0.39,107.78,6.5,22.45,4.873913043478261,52.31666666666666,4.0,3.7,4786.466666666666,1479.0,3827.5,285.45
2000-06-27,-0.4,107.35,6.5,21.8,4.860869565217391,52.35333333333333,4.0,3.7,4787.053333333333,1471.0,3767.5,292.3
2000-06-28,-0.32,107.71,6.5,20.29,4.8478260869565215,52.39,4.0,3.7,4787.639999999999,1471.25,3815.5,288.9
2000-06-29,-0.33,106.87,6.5,19.7,4.834782608695653,52.42666666666667,4.0,3.7,4788.2266666666665,1458.0,3731.0,288.6
2000-06-30,-0.35,106.8,6.5,19.54,4.821739130434783,52.46333333333333,4.0,3.7,4788.813333333333,1468.0,3817.0,288.23333333333335
2000-07-01,-0.33666666666666667,106.93,6.5,19.636666666666667,4.808695652173913,52.5,4.0,3.7,4789.4,1475.5,3831.8333333333335,287.8666666666667
2000-07-02,-0.3233333333333333,107.06,6.5,19.73333333333333,4.7956521739130435,52.41612903225806,4.003225806451613,3.6903225806451614,4790.3064516129025,1483.0,3846.6666666666665,287.5
2000-07-03,-0.31,107.08666666666667,6.5,19.83,4.782608695652174,52.33225806451613,4.006451612903226,3.6806451612903226,4791.212903225806,1490.5,3861.5,285.65
2000-07-04,-0.305,107.11333333333333,6.5,20.494999999999997,4.769565217391304,52.248387096774195,4.009677419354839,3.670967741935484,4792.119354838709,1476.875,3785.5,283.8
2000-07-05,-0.3,107.14,6.5,21.16,4.756521739130434,52.16451612903226,4.012903225806451,3.6612903225806455,4793.025806451613,1463.25,3709.5,283.2
2000-07-06,-0.29,107.39,6.5,20.94,4.743478260869566,52.08064516129032,4.016129032258064,3.6516129032258067,4793.932258064516,1473.75,3834.0,283.3
2000-07-07,-0.28,107.66,6.5,19.22,4.730434782608696,51.99677419354839,4.019354838709678,3.641935483870968,4794.8387096774195,1494.75,3877.5,283.43333333333334
2000-07-08,-0.27666666666666667,107.31,6.5,19.59,4.717391304347826,51.91290322580645,4.02258064516129,3.632258064516129,4795.745161290322,1493.75,3861.0,283.56666666666666
2000-07-09,-0.2733333333333334,106.96,6.5,19.959999999999997,4.7043478260869565,51.829032258064515,4.025806451612903,3.6225806451612903,4796.651612903225,1492.75,3844.5,283.7
2000-07-10,-0.27,107.02,6.5,20.33,4.691304347826087,51.74516129032258,4.029032258064516,3.6129032258064515,4797.558064516129,1491.75,3828.0,282.3
2000-07-11,-0.26,107.08,6.5,20.11,4.678260869565218,51.66129032258065,4.032258064516129,3.603225806451613,4798.464516129032,1494.75,3781.5,280.4
2000-07-12,-0.25,108.09,6.5,20.03,4.665217391304348,51.57741935483871,4.035483870967742,3.5935483870967744,4799.370967741936,1505.75,3930.5,279.75
2000-07-13,-0.3,108.47,6.5,20.03,4.6521739130434785,51.49354838709677,4.038709677419354,3.5838709677419356,4800.2774193548385,1509.5,4008.5,281.0
2000-07-14,-0.31,108.44,6.5,19.32,4.639130434782609,51.409677419354836,4.041935483870968,3.574193548387097,4801.183870967741,1524.0,4078.0,281.76666666666665
2000-07-15,-0.30333333333333334,108.56,6.5,19.363333333333333,4.626086956521739,51.325806451612905,4.04516129032258,3.564516129032258,4802.090322580645,1523.3333333333333,4088.6666666666665,282.53333333333336
2000-07-16,-0.29666666666666663,108.68,6.5,19.406666666666666,4.613043478260869,51.24193548387097,4.048387096774193,3.554838709677419,4802.996774193548,1522.6666666666667,4099.333333333333,283.3
2000-07-17,-0.29,109.02000000000001,6.5,19.45,4.6,51.15806451612903,4.051612903225807,3.545161290322581,4803.903225806452,1522.0,4110.0,282.4
2000-07-18,-0.28,109.36,6.5,19.75,4.586956521739131,51.07419354838709,4.054838709677419,3.535483870967742,4804.809677419355,1511.5,4023.5,278.9
2000-07-19,-0.3,109.51,6.5,19.65,4.573913043478261,50.99032258064516,4.058064516129032,3.5258064516129033,4805.716129032258,1500.25,3913.5,279.75
2000-07-20,-0.31,108.63,6.5,18.94,4.560869565217391,50.906451612903226,4.061290322580645,3.5161290322580645,4806.622580645161,1516.25,4052.0,280.1
2000-07-21,-0.31,108.34,6.5,18.94,4.547826086956522,50.82258064516129,4.064516129032258,3.5064516129032257,4807.529032258064,1489.75,3934.0,279.65000000000003
2000-07-22,-0.31,108.525,6.5,19.26666666666667,4.534782608695652,50.73870967741935,4.067741935483871,3.496774193548387,4808.435483870968,1487.0,3895.8333333333335,279.2
2000-07-23,-0.31,108.71,6.5,19.593333333333334,4.521739130434782,50.65483870967742,4.070967741935483,3.4870967741935486,4809.341935483871,1484.25,3857.6666666666665,278.75
2000-07-24,-0.31,108.52,6.5,19.92,4.508695652173913,50.57096774193548,4.074193548387097,3.47741935483871,4810.248387096774,1481.5,3819.5,278.8
2000-07-25,-0.31,108.33,6.5,19.39,4.495652173913044,50.487096774193546,4.077419354838709,3.467741935483871,4811.154838709677,1484.5,3888.0,279.5
2000-07-26,-0.25,108.13,6.5,19.67,4.482608695652174,50.40322580645161,4.080645161290322,3.458064516129032,4812.06129032258,1470.0,3865.0,278.0
2000-07-27,-0.25,108.86,6.5,19.6,4.469565217391304,50.31935483870968,4.083870967741936,3.4483870967741934,4812.967741935484,1463.75,3707.0,277.9
2000-07-28,-0.26,109.74,6.5,20.84,4.456521739130435,50.23548387096774,4.087096774193548,3.4387096774193546,4813.874193548387,1432.0,3506.0,277.59999999999997
2000-07-29,-0.26,109.66,6.5,20.806666666666665,4.443478260869565,50.151612903225804,4.090322580645161,3.429032258064516,4814.7806451612905,1434.3333333333333,3543.0,277.3
2000-07-30,-0.26,109.58,6.5,20.773333333333333,4.430434782608696,50.067741935483866,4.0935483870967735,3.4193548387096775,4815.687096774193,1436.6666666666667,3580.0,277.0
2000-07-31,-0.26,109.83500000000001,6.5,20.74,4.417391304347826,49.983870967741936,4.096774193548387,3.4096774193548387,4816.593548387097,1439.0,3617.0,277.1
2000-08-01,-0.27,110.09,6.5,20.55,4.404347826086957,49.9,4.1,3.4,4817.5,1447.5,3569.5,277.3
2000-08-02,-0.25,110.59,6.5,20.0,4.391304347826087,49.89354838709677,4.0935483870967735,3.403225806451613,4818.651612903226,1452.5,3507.0,273.7
2000-08-03,-0.27,111.02,6.5,19.99,4.378260869565217,49.887096774193544,4.087096774193548,3.4064516129032256,4819.803225806451,1462.0,3662.5,273.0
2000-08-04,-0.24,110.86,6.5,18.62,4.3652173913043475,49.880645161290325,4.080645161290322,3.4096774193548387,4820.9548387096775,1471.75,3632.0,273.1666666666667
2000-08-05,-0.23666666666666666,110.83500000000001,6.5,18.756666666666668,4.352173913043478,49.8741935483871,4.074193548387097,3.4129032258064513,4822.106451612904,1476.5833333333333,3662.1666666666665,273.3333333333333
2000-08-06,-0.23333333333333334,110.81,6.5,18.893333333333334,4.339130434782609,49.86774193548387,4.067741935483871,3.4161290322580644,4823.258064516129,1481.4166666666667,3692.3333333333335,273.5
2000-08-07,-0.23,111.055,6.5,19.03,4.326086956521739,49.86129032258064,4.0612903225806445,3.4193548387096775,4824.409677419355,1486.25,3722.5,272.75
2000-08-08,-0.23,111.3,6.5,18.79,4.3130434782608695,49.854838709677416,4.054838709677419,3.42258064516129,4825.561290322581,1491.75,3717.5,272.05
2000-08-09,-0.37,111.4,6.5,19.18,4.3,49.848387096774196,4.048387096774193,3.425806451612903,4826.712903225806,1481.0,3693.5,271.7
2000-08-10,-0.4,110.92,6.5,19.19,4.28695652173913,49.84193548387097,4.041935483870968,3.4290322580645163,4827.864516129032,1474.25,3630.5,272.5
2000-08-11,-0.46,111.23,6.5,18.55,4.273913043478261,49.83548387096774,4.035483870967742,3.432258064516129,4829.016129032258,1478.5,3663.5,273.29999999999995
2000-08-12,-0.4633333333333333,111.20500000000001,6.5,18.326666666666668,4.260869565217392,49.829032258064515,4.0290322580645155,3.435483870967742,4830.167741935484,1485.0,3691.6666666666665,274.09999999999997
